f ESR	Amplitude - ESR 		
3.0884	3.42E+06		
3.0896	3.41E+06		
3.0908	3.42E+06		
3.092	3.42E+06		
3.0932	3.42E+06		
3.0944	3.42E+06		
3.0956	3.42E+06		
3.0968	3.42E+06		
3.098	3.42E+06		
3.0992	3.42E+06		
3.1004	3.41E+06		
3.1016	3.42E+06		
3.1028	3.42E+06		
3.104	3.42E+06		
3.1052	3.42E+06		
3.1064	3.42E+06		
3.1076	3.43E+06		
3.1088	3.42E+06		
3.11	3.42E+06		
3.1112	3.42E+06		
3.1124	3.42E+06		
3.1136	3.42E+06		
3.1148	3.42E+06		
3.116	3.42E+06		
3.1172	3.42E+06		
3.1184	3.42E+06		
3.1196	3.42E+06		
3.1208	3.42E+06		
3.122	3.42E+06		
3.1232	3.42E+06		
3.1244	3.42E+06		
3.1256	3.42E+06		
3.1268	3.42E+06		
3.128	3.42E+06		
3.1292	3.42E+06		
3.1304	3.42E+06		
3.1316	3.42E+06		
3.1328	3.42E+06		
3.134	3.42E+06		
3.1352	3.42E+06		
3.1364	3.41E+06		
3.1376	3.41E+06		
3.1388	3.42E+06		
3.14	3.42E+06		
3.1412	3.42E+06		
3.1424	3.41E+06		
3.1436	3.42E+06		
3.1448	3.42E+06		
3.146	3.42E+06		
3.1472	3.42E+06		
3.1484	3.42E+06		
3.1496	3.42E+06		
3.1508	3.42E+06		
3.152	3.42E+06		
3.1532	3.42E+06		
3.1544	3.42E+06		
3.1556	3.42E+06		
3.1568	3.42E+06		
3.158	3.42E+06		
3.1592	3.42E+06		
3.1604	3.42E+06		
3.1616	3.42E+06		
3.1628	3.42E+06		
3.164	3.42E+06		
3.1652	3.42E+06		
3.1664	3.42E+06		
3.1676	3.42E+06		
3.1688	3.42E+06		
3.17	3.42E+06		
3.1712	3.42E+06		
3.1724	3.42E+06		
3.1736	3.42E+06		
3.1748	3.42E+06		
3.176	3.42E+06		
3.1772	3.42E+06		
3.1784	3.42E+06		
3.1796	3.42E+06		
3.1808	3.42E+06		
3.182	3.42E+06		
3.1832	3.42E+06		
3.1844	3.42E+06		
3.1856	3.41E+06		
3.1868	3.42E+06		
3.188	3.42E+06		
3.1892	3.42E+06		
3.1904	3.42E+06		
3.1916	3.42E+06		
3.1928	3.42E+06		
3.194	3.42E+06		
3.1952	3.42E+06		
3.1964	3.42E+06		
3.1976	3.42E+06		
3.1988	3.42E+06		
3.2	3.42E+06		
