Photolum;f  ESR(Ghz);Amplitude - ESR
5.62M;3.0255;5.64783E+6
5.63M;3.02667;5.65051E+6
5.64M;3.02783;5.6489E+6
5.63M;3.029;5.64472E+6
5.65M;3.03017;5.6436E+6
5.66M;3.03133;5.63931E+6
5.66M;3.0325;5.63767E+6
5.66M;3.03367;5.65124E+6
5.61M;3.03483;5.64747E+6
5.64M;3.036;5.65874E+6
5.68M;3.03717;5.64029E+6
5.62M;3.03833;5.65368E+6
5.66M;3.0395;5.65045E+6
5.62M;3.04067;5.63231E+6
5.62M;3.04183;5.65007E+6
5.63M;3.043;5.64351E+6
5.62M;3.04417;5.65282E+6
5.64M;3.04533;5.65098E+6
5.61M;3.0465;5.63929E+6
5.65M;3.04767;5.6468E+6
5.64M;3.04883;5.65462E+6
5.62M;3.05;5.64127E+6
5.62M;;
5.64M;;
5.65M;;
5.64M;;
5.66M;;
5.61M;;
5.64M;;
5.66M;;
5.64M;;
5.62M;;
5.62M;;
5.62M;;
5.67M;;
5.61M;;
5.64M;;
5.63M;;
5.63M;;
5.62M;;
5.64M;;
5.62M;;
5.62M;;
5.65M;;
5.63M;;
5.61M;;
5.64M;;
5.63M;;
5.6M;;
5.62M;;
5.63M;;
5.64M;;
5.64M;;
5.61M;;
5.65M;;
5.64M;;
5.65M;;
5.63M;;
5.6M;;
5.63M;;
5.63M;;
5.63M;;
5.6M;;
5.69M;;
5.61M;;
5.62M;;
5.66M;;
5.62M;;
5.63M;;
5.64M;;
5.59M;;
5.65M;;
5.63M;;
5.64M;;
5.64M;;
5.66M;;
5.62M;;
5.63M;;
5.67M;;
5.61M;;
5.62M;;
5.62M;;
5.63M;;
5.65M;;
5.62M;;
5.61M;;
5.64M;;
5.63M;;
5.64M;;
5.63M;;
5.65M;;
5.65M;;
5.64M;;
5.65M;;
5.62M;;
5.64M;;
5.62M;;
5.65M;;
5.63M;;
5.63M;;
5.64M;;
5.61M;;
5.67M;;
5.67M;;
5.63M;;
5.65M;;
5.66M;;
5.66M;;
5.65M;;
5.62M;;
5.6M;;
5.65M;;
5.64M;;
5.6M;;
5.65M;;
5.59M;;
5.62M;;
5.63M;;
5.61M;;
5.64M;;
5.64M;;
5.65M;;
5.65M;;
5.65M;;
5.62M;;
5.6M;;
5.63M;;
5.63M;;
5.63M;;
5.66M;;
5.63M;;
5.65M;;
5.64M;;
5.61M;;
5.65M;;
5.6M;;
5.64M;;
5.63M;;
5.62M;;
5.62M;;
5.63M;;
5.62M;;
5.64M;;
5.66M;;
5.64M;;
5.62M;;
5.62M;;
5.67M;;
5.62M;;
5.62M;;
5.65M;;
5.64M;;
5.62M;;
5.61M;;
5.61M;;
5.65M;;
5.66M;;
5.64M;;
5.61M;;
5.66M;;
5.62M;;
5.66M;;
5.65M;;
5.63M;;
5.63M;;
5.64M;;
5.65M;;
5.62M;;
5.6M;;
5.62M;;
5.64M;;
5.68M;;
5.65M;;
5.63M;;
5.6M;;
5.65M;;
5.65M;;
5.65M;;
5.65M;;
5.65M;;
5.62M;;
5.65M;;
5.61M;;
5.61M;;
5.64M;;
5.62M;;
5.61M;;
5.67M;;
5.64M;;
5.62M;;
5.59M;;
5.63M;;
5.62M;;
5.64M;;
5.63M;;
5.65M;;
5.61M;;
5.66M;;
5.65M;;
5.61M;;
5.65M;;
5.61M;;
5.65M;;
5.66M;;
5.64M;;
5.62M;;
5.61M;;
5.65M;;
5.65M;;
5.66M;;
5.65M;;
5.61M;;
5.64M;;
5.64M;;
5.63M;;
5.64M;;
5.63M;;
5.66M;;
5.65M;;
5.67M;;
5.61M;;
5.67M;;
5.65M;;
5.64M;;
5.61M;;
5.64M;;
5.63M;;
5.6M;;
5.62M;;
5.63M;;
5.61M;;
5.62M;;
5.67M;;
5.56M;;
5.66M;;
5.64M;;
5.66M;;
5.64M;;
5.66M;;
5.62M;;
5.62M;;
5.62M;;
5.67M;;
5.64M;;
5.64M;;
5.63M;;
5.62M;;
5.62M;;
5.62M;;
5.64M;;
5.64M;;
5.64M;;
5.62M;;
5.63M;;
5.64M;;
5.62M;;
5.64M;;
5.64M;;
5.64M;;
5.63M;;
5.63M;;
5.63M;;
5.66M;;
5.65M;;
5.61M;;
5.63M;;
5.63M;;
5.64M;;
5.64M;;
5.63M;;
5.62M;;
5.61M;;
5.62M;;
5.63M;;
5.64M;;
5.65M;;
5.64M;;
5.65M;;
5.65M;;
5.64M;;
5.64M;;
5.62M;;
5.62M;;
5.63M;;
5.6M;;
5.61M;;
5.65M;;
5.66M;;
5.64M;;
5.61M;;
5.69M;;
5.62M;;
5.63M;;
5.61M;;
5.64M;;
5.66M;;
5.61M;;
5.68M;;
5.59M;;
5.6M;;
5.64M;;
5.65M;;
5.65M;;
5.62M;;
5.64M;;
5.61M;;
5.65M;;
5.62M;;
5.62M;;
5.64M;;
5.63M;;
5.64M;;
5.63M;;
5.62M;;
5.61M;;
5.64M;;
5.64M;;
5.59M;;
5.63M;;
5.63M;;
5.61M;;
5.65M;;
5.63M;;
5.62M;;
5.64M;;
5.63M;;
5.64M;;
5.64M;;
5.63M;;
5.64M;;
5.64M;;
5.63M;;
5.63M;;
5.59M;;
5.62M;;
5.65M;;
5.66M;;
5.63M;;
5.65M;;
5.6M;;
5.65M;;
5.61M;;
5.61M;;
5.63M;;
5.65M;;
5.63M;;
5.63M;;
5.63M;;
5.64M;;
5.64M;;
5.67M;;
5.65M;;
5.65M;;
5.62M;;
5.65M;;
5.63M;;
5.62M;;
5.64M;;
5.61M;;
5.61M;;
5.62M;;
5.63M;;
5.61M;;
5.66M;;
5.66M;;
5.65M;;
5.63M;;
5.65M;;
5.63M;;
5.65M;;
5.64M;;
5.64M;;
5.61M;;
5.63M;;
5.64M;;
5.61M;;
5.66M;;
5.64M;;
5.64M;;
5.63M;;
5.63M;;
5.63M;;
5.64M;;
5.61M;;
5.62M;;
5.62M;;
5.65M;;
5.65M;;
5.66M;;
5.64M;;
5.66M;;
5.66M;;
5.63M;;
5.63M;;
5.65M;;
5.65M;;
5.62M;;
5.66M;;
5.65M;;
5.62M;;
5.62M;;
5.64M;;
5.63M;;
5.64M;;
5.66M;;
5.64M;;
5.63M;;
5.62M;;
5.66M;;
5.62M;;
5.62M;;
5.63M;;
5.64M;;
5.63M;;
5.64M;;
5.61M;;
5.62M;;
5.64M;;
5.67M;;
5.61M;;
5.66M;;
5.65M;;
5.63M;;
5.66M;;
5.64M;;
5.62M;;
5.64M;;
5.64M;;
5.62M;;
5.62M;;
5.63M;;
5.65M;;
5.63M;;
5.62M;;
5.64M;;
5.67M;;
5.65M;;
5.65M;;
5.62M;;
5.6M;;
5.64M;;
5.6M;;
5.62M;;
5.62M;;
5.66M;;
5.62M;;
5.62M;;
5.65M;;
5.67M;;
5.63M;;
5.62M;;
5.65M;;
5.63M;;
5.61M;;
5.6M;;
5.63M;;
5.63M;;
5.66M;;
