Temps - Tracé 0	Amplitude - Tracé 0	
0.000503	721647	
0.000504	725844	
0.000505	721478	
0.000506	714861	
0.000507	720800	
0.000508	723873	
0.000509	722409	
0.00051	722687	
0.000511	725687	
0.000512	724852	
0.000513	720280	
0.000514	717534	
0.000515	718296	
0.000516	723135	
0.000517	717486	
0.000518	719482	
0.000519	719579	
0.00052	718792	
0.000521	716663	
0.000522	719554	
0.000523	712902	
0.000524	713881	
0.000525	717885	
0.000526	718139	
0.000527	715212	
0.000528	710591	
0.000529	720087	
0.00053	719808	
0.000531	712357	
0.000532	717571	
0.000533	718006	
0.000534	712260	
0.000535	715744	
0.000536	717014	
0.000537	718563	
0.000538	717401	
0.000539	721611	
0.00054	715345	
0.000541	716434	
0.000542	724175	
0.000543	717329	
0.000544	717099	
0.000545	717087	
0.000546	711438	
0.000547	716385	
0.000548	718998	
0.000549	714244	
0.00055	715164	
0.000551	719820	
0.000552	716422	
0.000553	718115	
0.000554	716712	
0.000555	714535	
0.000556	713797	
0.000557	719736	
0.000558	717329	
0.000559	717038	
0.00056	720292	
0.000561	722300	
0.000562	712926	
0.000563	724405	
0.000564	723522	
0.000565	711910	
0.000566	720268	
0.000567	720631	
0.000568	713736	
0.000569	714897	
0.00057	712260	
0.000571	715091	
0.000572	720208	
0.000573	721986	
0.000574	723812	
0.000575	723425	
0.000576	719373	
0.000577	721115	
0.000578	720716	
0.000579	723643	
0.00058	719954	
0.000581	727925	
0.000582	717401	
0.000583	722119	
0.000584	718611	
0.000585	721961	
0.000586	725639	
0.000587	726014	
0.000588	721974	
0.000589	721877	
0.00059	722881	
0.000591	727090	
0.000592	722808	
0.000593	721441	
0.000594	723050	
0.000595	725312	
0.000596	723752	
0.000597	720474	
0.000598	727949	
0.000599	719046	
0.0006	721345	
0.000601	722881	
0.000602	722820	
0.000603	722324	
0.000604	721792	
0.000605	716881	
0.000606	721828	
0.000607	721308	
0.000608	715575	
0.000609	721248	
0.00061	722433	
0.000611	721163	
0.000612	719929	
0.000613	715756	
0.000614	717643	
0.000615	715623	
0.000616	726171	
0.000617	719337	
0.000618	726727	
0.000619	714656	
0.00062	718103	
0.000621	718272	
0.000622	719663	
0.000623	715357	
0.000624	718865	
0.000625	719893	
0.000626	717958	
0.000627	721707	
0.000628	720498	
0.000629	713772	
0.00063	720256	
0.000631	715539	
0.000632	721695	
0.000633	721127	
0.000634	716434	
0.000635	720897	
0.000636	722095	
0.000637	717607	
0.000638	718502	
0.000639	724018	
0.00064	716748	
0.000641	722470	
0.000642	718647	
0.000643	717063	
0.000644	721502	
0.000645	721466	
0.000646	721054	
0.000647	719397	
0.000648	718599	
0.000649	728687	
0.00065	720075	
0.000651	723812	
0.000652	722433	
0.000653	719542	
0.000654	722615	
0.000655	720280	
0.000656	725385	
0.000657	726957	
0.000658	721865	
0.000659	718284	
0.00066	720812	
0.000661	721091	
0.000662	724018	
0.000663	721078	
0.000664	721151	
0.000665	723957	
0.000666	724865	
0.000667	723655	
0.000668	723111	
0.000669	723764	
0.00067	727514	
0.000671	728397	
0.000672	723207	
0.000673	721732	
0.000674	726764	
0.000675	720970	
0.000676	722627	
0.000677	721490	
0.000678	725614	
0.000679	719192	
0.00068	720268	
0.000681	725457	
0.000682	718091	
0.000683	722784	
0.000684	725397	
0.000685	720159	
0.000686	722264	
0.000687	717897	
0.000688	719615	
0.000689	720945	
0.00069	721066	
0.000691	719700	
0.000692	723268	
0.000693	722772	
0.000694	723038	
0.000695	719252	
0.000696	724586	
0.000697	723715	
0.000698	721066	
0.000699	714547	
0.0007	718538	
0.000701	723740	
0.000702	721478	
0.000703	722034	
0.000704	726292	
0.000705	721816	
0.000706	721151	
0.000707	720873	
0.000708	722784	
0.000709	724671	
0.00071	723413	
0.000711	721284	
0.000712	724356	
0.000713	721248	
0.000714	717655	
0.000715	721345	
0.000716	719941	
0.000717	728034	
0.000718	718139	
0.000719	720062	
0.00072	724731	
0.000721	721998	
0.000722	717643	
0.000723	718720	
0.000724	722082	
0.000725	725094	
0.000726	718780	
0.000727	721925	
0.000728	725397	
0.000729	718538	
0.00073	721441	
0.000731	722349	
0.000732	718284	
0.000733	723280	
0.000734	720583	
0.000735	726655	
0.000736	727126	
0.000737	724961	
0.000738	727489	
0.000739	727514	
0.00074	727199	
0.000741	723461	
0.000742	723570	
0.000743	723667	
0.000744	721611	
0.000745	726316	
0.000746	725893	
0.000747	726485	
0.000748	729534	
0.000749	723401	
0.00075	726074	
0.000751	726485	
0.000752	722518	
0.000753	722119	
0.000754	725094	
0.000755	724248	
0.000756	725119	
0.000757	727889	
0.000758	729594	
0.000759	718659	
0.00076	722494	
0.000761	725360	
0.000762	726933	
0.000763	723764	
0.000764	726389	
0.000765	722990	
0.000766	721139	
0.000767	728288	
0.000768	725457	
0.000769	725881	
0.00077	726280	
0.000771	722869	
0.000772	721078	
0.000773	723921	
0.000774	725953	
0.000775	726413	
0.000776	723207	
0.000777	725046	
0.000778	717232	
0.000779	725506	
0.00078	726304	
0.000781	720643	
0.000782	728276	
0.000783	718671	
0.000784	725494	
0.000785	723365	
0.000786	722820	
0.000787	724901	
0.000788	721647	
0.000789	721514	
0.00079	723207	
0.000791	727876	
0.000792	718272	
0.000793	719192	
0.000794	723074	
0.000795	727731	
0.000796	735291	
0.000797	718260	
0.000798	724139	
0.000799	725905	
0.0008	727175	
0.000801	720583	
0.000802	722288	
0.000803	725010	
0.000804	725868	
0.000805	725191	
0.000806	726413	
0.000807	729001	
0.000808	723195	
0.000809	721260	
0.00081	722953	
0.000811	725735	
0.000812	725022	
0.000813	717220	
0.000814	725203	
0.000815	724260	
0.000816	721236	
0.000817	726026	
0.000818	724332	
0.000819	722929	
0.00082	724804	
0.000821	723933	
0.000822	727586	
0.000823	725856	
0.000824	726389	
0.000825	721345	
0.000826	721961	
0.000827	725917	
0.000828	724199	
0.000829	725699	
0.00083	727731	
0.000831	728324	
0.000832	727477	
0.000833	723256	
0.000834	732594	
0.000835	723038	
0.000836	728784	
0.000837	721998	
0.000838	725760	
0.000839	727332	
0.00084	723582	
0.000841	720353	
0.000842	727598	
0.000843	721490	
0.000844	730380	
0.000845	720280	
0.000846	723558	
0.000847	724744	
0.000848	728445	
0.000849	729086	
0.00085	722881	
0.000851	728687	
0.000852	725832	
0.000853	721732	
0.000854	729280	
0.000855	724611	
0.000856	723933	
0.000857	725590	
0.000858	721332	
0.000859	725941	
0.00086	722857	
0.000861	725469	
0.000862	717813	
0.000863	730973	
0.000864	723715	
0.000865	728651	
0.000866	730779	
0.000867	720268	
0.000868	722155	
0.000869	723268	
0.00087	721526	
0.000871	725578	
0.000872	729872	
0.000873	726449	
0.000874	727393	
0.000875	721115	
0.000876	723655	
0.000877	722095	
0.000878	724985	
0.000879	720365	
0.00088	727187	
0.000881	727671	
0.000882	729546	
0.000883	731167	
0.000884	722264	
0.000885	721030	
0.000886	724877	
0.000887	726147	
0.000888	729763	
0.000889	724611	
0.00089	722881	
0.000891	728409	
0.000892	725227	
0.000893	728602	
0.000894	725820	
0.000895	722578	
0.000896	729231	
0.000897	727393	
0.000898	727574	
0.000899	727889	
0.0009	727622	
0.000901	723244	
0.000902	724877	
0.000903	724223	
0.000904	730005	
0.000905	727635	
0.000906	726219	
0.000907	728687	
0.000908	728868	
0.000909	725094	
0.00091	724502	
0.000911	722349	
0.000912	729497	
0.000913	726231	
0.000914	725820	
0.000915	728155	
0.000916	725034	
0.000917	727163	
0.000918	732945	
0.000919	725614	
0.00092	722663	
0.000921	729691	
0.000922	722699	
0.000923	727489	
0.000924	727453	
0.000925	724985	
0.000926	729546	
0.000927	730150	
0.000928	735424	
0.000929	725953	
0.00093	728566	
0.000931	727622	
0.000932	725989	
0.000933	731554	
0.000934	723848	
0.000935	729715	
0.000936	727151	
0.000937	735207	
0.000938	728022	
0.000939	728397	
0.00094	725179	
0.000941	730005	
0.000942	729449	
0.000943	722070	
0.000944	727054	
0.000945	728082	
0.000946	731433	
0.000947	725687	
0.000948	725953	
0.000949	734384	
0.00095	728215	
0.000951	727489	
0.000952	732642	
0.000953	730417	
0.000954	727985	
0.000955	728143	
0.000956	726183	
0.000957	727042	
0.000958	729546	
0.000959	729667	
0.00096	722167	
0.000961	727308	
0.000962	725796	
0.000963	726594	
0.000964	721332	
0.000965	728614	
0.000966	726062	
0.000967	727635	
0.000968	726921	
0.000969	726945	
0.00097	725385	
0.000971	728058	
0.000972	722724	
0.000973	721695	
0.000974	722203	
0.000975	727792	
0.000976	728191	
0.000977	729521	
0.000978	729981	
0.000979	729812	
0.00098	728348	
0.000981	729485	
0.000982	724248	
0.000983	728989	
0.000984	725167	
0.000985	726631	
0.000986	722167	
0.000987	730574	
0.000988	726764	
0.000989	730683	
0.00099	728070	
0.000991	725046	
0.000992	731033	
0.000993	729328	
0.000994	725324	
0.000995	735412	
0.000996	726219	
0.000997	728505	
0.000998	728300	
